abaissé;descendu
abandon;disparition
abandonnant;rejetant
abandonne;reprend
abandonné;perdu
abandonnée;perdue
abandonnées;construites
abandonnent;refusent
abandonner;sacrifier
abandonnés;envahis
abasie;rachidienne
abasourdi;surpris
abasourdir;bredouiller
abasourdissement;pleurnichage
abat-jour;photophore
abattage;engraissage
abatteur;shohet
abattoir;boucheries
abattre;arracher
abbatial;claustral
abbaye;cistercienne
abbesse;prieures
abcéder;resurchauffer
abcès;phlegmon
abdication;annexion
abdiquer;exiler
abdomen;prothorax
abdominal;dorsal
abécédaire;ouvrage
abeille;fourmi
aberrant;ahurissant
aberration;inacceptable
abêtir;asservir
abhorrer;aimer
abîme;engluement
abîmer;bousiller
abject;abominable
abjection;hypocrisie
abjurer;renoncer
ablation;hysterectomie
aboiement;jappe
abolir;constitutionnaliser
abolition;suppression
abolitionnisme;esclavage
abolitionniste;esclavagisme
abomination;atroce
abominer;monstrer
abondamment;souvent
abondance;nourriture
abondant;inhabituel
abondante;copieuse
abonné;freenaute
abonnée;bloggueuse
abonnement;forfait
abonnements;billets
abonnés;lecteurs
abord;cependant
abordable;avantageux
abordage;bateau
aborde;traitera
aborder;parler
abordés;approfondis
abords;carrefours
aborigène;australienne
aborigènes;maori
abortif;pessaire
about;concerns
aboutir;entamer
aboutissement;jalon
aboutissent;impliquent
aboutit;engendre
aboyer;jappe
abracadabrant;ubuesque
abrasif;sablage
abrasion;fendillement
abrasive;blanchissante
abrégé;usuellement
abrégée;raccourcie
abréger;allonger
abreuver;puiser
abréviation;acronymie
abréviations;majuscules
abricot;groseille
abricotier;pommier
abrite;regroupe
abrité;construit
abriter;renfermer
abroger;ratifier
abrupt;violent
abruti;couillon
absence;manque
absent;inactif
absente;exclue
absentéisme;surmenage
absents;injoignables
absinthe;alcoolat
absolu;intemporel
absolue;formelle
absolument;pourtant
absolution;repentance
absolutisme;monarchie
absorbé;englouti
absorber;emmagasiner
absorption;dispersion
absoudre;amnistier
abstention;votant
abstentions;votes
abstenu;intervenu
abstenus;votants
abstinence;onanisme
abstraction;picturale
abstrait;immanent
abstraite;formelle
abstraits;expressionnistes
absurde;risible
absurdité;aberration
abuser;maltraiter
abusif;illicite
abusive;indue
abyssin;shorthair
abyssinien;ethiopien
acacia;seyal
académicien;diplomate
académies;institutions
académique;professoral
académiques;interuniversitaires
acajou;padouk
accablant;ahurissant
accabler;attrister
accalmie;recrudescence
accède;obtient
accédé;obtenu
accéder;retrouver
accélération;ralentissement
accéléré;progressif
accélérée;fulgurante
accélérer;favoriser
accent;intonation
accents;exotismes
accentuation;apophonie
accentue;aggrave
accentué;adouci
accentuer;diminuer
acceptable;satisfaisante
acceptait;refusa
acceptant;proposant
acceptation;rejet
accepte;autorise
accepté;choisi
acceptée;reconnue
acceptées;reconnues
acceptent;rechignent
accepter;abandonner
accepterait;refusait
accepteront;refusent
acceptés;bienvenus
acception;connotative
accessible;consultable
accession;victoire
accessoire;incontournable
accessoirement;certes
accessoires;outillages
accident;survenu
accidenté;cahoteux
accidentel;brutal
accidents;incendies
accise;parafiscale
acclamation;investiture
acclamer;scander
acclimatation;floraison
acclimatement;explant
accommodation;appartment
accommoder;convenir
accompagnant;expliquant
accompagne;engage
accompagné;offert
accompagnée;soutenue
accompagnées;soutenues
accompagnement;dispositif
accompagnent;encadrent
accompagner;engager
accompagnés;munis
accompli;entrepris
accomplie;mission
accomplir;entreprendre
accomplis;prescrits
accomplit;acquitte
accord;conclu
accordait;donnait
accordant;octroient
accorde;attribue
accordé;obtenu
accordée;obtenue
accordées;consenties
accordent;affirment
accordéon;guitare
accordéoniste;musicien
accorder;octroie
accordés;offerts
accordeur;harmoniseur
accords;pourparlers
accore;charie
accoster;caboter
accouchement;grossesses
accoucher;enfanter
accoucheuse;matrone
accrocher;aggriper
accroissement;essor
accroître;optimiser
accru;grandissant
accrue;maximale
accrues;grandissantes
accrus;amoindris
accueil;chaleureux
accueillant;arrangeant
accueille;rassemble
accueillent;abritent
accueillera;ouvrira
accueilli;chaleureusement
accueillie;applaudie
accueillir;recevoir
accueillis;chaleureusement
accumulateur;orgone
accumulation;abondance
accumulé;acquis
accumulées;subies
accumuler;amonceler
accusait;affirmait
accusant;affirmant
accusation;inculpant
accusations;plaintes
accuse;reprochant
accusent;condamnent
accuser;disculper
accusés;coupables
acerbe;incisif
acéré;caustique
acérer;crevasser
acétone;dissolvant
acétylène;ammoniac
acharné;labeur
acharnée;implacable
acharnement;ignoble
achat;investissement
achats;emplettes
acheminement;convoyage
acheminer;transiter
achetant;installant
achète;vendent
acheté;vendu
achetée;revendu
achetées;offertes
achètent;vendront
acheter;commander
achetés;revendus
acheteur;approvisionneur
acheteurs;marchands
achève;terminera
achevé;interrompu
achevée;interrompue
achevées;accomplies
achèvement;construction
achever;commencer
achevés;construits
achopper;embarrasser
achromatique;afocal
achromatopsie;hypopigmentation
acide;phosphorique
acides;fulviques
acidité;tannique
acidulé;girly
acier;laiton
acompte;payement
acoustique;sonore
acquéreur;cessionnaire
acquéreurs;acheteur
acquérir;disposer
acquiert;investit
acquiescer;opiner
acquis;obtenus
acquise;reconnue
acquises;obtenues
acquisition;rachat
acquisitions;reventes
acquit;conserva
acquitter;repayer
acrobate;clown
acrobatie;contorsionniste
acrobatique;danse
acrostiche;assonance
actes;comportements
acteur;protagoniste
acteurs;intervenants
actif;assidu
actifs;restructurants
actinie;anguilliformes
action;aventure
actionnaire;capital
actionnaires;risqueurs
actionnariat;dividendes
actionner;appuyer
actions;initiatives
active;consciente
activement;participer
activer;enclencher
actives;impliquantes
activistes;opposants
activité;professionnelle
activités;occupationnelles
actrice;danseuse
actualisation;analyse
actualiser;modifier
actualité;brulante
actualités;rubriques
actuel;existant
actuelle;situation
actuellement;maintenant
actuelles;locales
actuels;internationaux
acuité;pertinence
adagio;espressivo
adamite;chalcanthite
adapté;convenir
adaptée;performante
adapter;imposer
adaptés;performants
addenda;erratum
addition;mixture
additionné;obtenu
additionner;calculer
adepte;friand
adeptes;fanatiques
adéquat;opportun
adéquate;pertinente
adhéré;souscrit
adhérent;cotisant
adhérente;militante
adhérents;membres
adhérer;renoncer
adhésion;approbation
adieu;enterrement
adieux;touchants
adipeux;spumeux
adjectif;substantivation
adjoindre;assigner
adjoints;coordonnateurs
adjonction;incorporant
admet;constate
admettent;imaginent
admettre;ignorer
adminicule;amertune
administrateurs;sysops
administratif;commercial
administratifs;territoriaux
administration;publique
administrations;gouvernements
administrative;commerciale
administratives;sociales
administrer;gouverner
administrés;contribuables
admirable;superbe
admirables;superbes
admirateur;inconditionnel
admirateurs;enthousiastes
admiration;antipathie
admiratrice;groupie
admirer;comtempler
admis;exclu
admise;exclue
admonester;houspiller
adolescence;adulte
adolescent;gamin
adolescentes;filles
adolescents;enfants
adonis;tatula
adoptant;choisissant
adopte;modifie
adoptée;introduite
adoptées;introduites
adoptent;reconnaissent
adopter;abandonner
adorateur;afficionado
adoration;idolatrie
adoratrice;inconditionelle
adorer;detester
adoucir;rehausser
adrénaline;frisson
adresse;email
adressé;courrier
adressée;lettre
adressées;transmises
adresser;communiquer
adressés;courriers
adroit;virtuose
aduler;jalouser
adulte;adolescent
adultère;polygamie
adultes;jeunes
adventiste;missiologue
adverbe;syntagme
adversaire;joueur
adversaires;contradicteurs
adverse;dribblant
aérien;terrestre
aérienne;maritime
aériennes;maritimes
aériens;fluviaux
aérodrome;aviation
aérodynamique;aileron
aéromodélisme;paramoteur
aéronaute;aviatrice
aéronautique;hydraviation
aéronautiques;aviation
aéroplane;engin
aéroports;autoroutiers
aérostat;dirigeables
aérostatique;ballooning
affabilité;sympathie
affable;flegmatique
affabulation;ineptie
affaibli;souffert
affaiblir;annihiler
affaiblissement;aggravation
affairiste;ploutocrate
affamé;vorace
affecte;augmente
affectées;exclues
affecter;nuire
affection;amour
affectueux;bienveillant
affermage;louage
affermer;enprendre
affermir;vivifier
affichait;comportait
affiche;annonce
affiché;apparait
affichée;choisie
affichent;arborent
afficher;apparaitre
affiches;placardent
affichés;apparaissent
affiler;etirer
affinité;similitude
affinités;motivations
affirmait;avouait
affirmant;rappelant
affirmatif;conjecturel
affirmations;inepties
affirme;estime
affirmé;soulignant
affirmée;soutenue
affirment;insistent
affirmer;contredire
affliction;angoisse
affligé;inquiet
affliger;navrer
affluence;visiteurs
affluent;drainent
affluer;drainer
afflux;entassement
affolement;malaise
affourager;abominer
affranchir;soustraire
affrété;cargo
affréteur;transitaire
affreux;atroce
affront;infligerait
affronte;oppose
affrontement;escarmouche
affrontements;rixes
affronter;triompher
affût;flairer
affûtage;avoyage
affûter;polir
afghan;pakistanaise
afghane;talibans
afghans;iraqiens
africain;congolais
africaine;gabonaise
africaines;ivoiriennes
africains;tchadiens
agacement;malaise
agacer;intriguer
agencement;espace
agencer;juxtaposer
agences;officines
agenda;filofax
agent;verbalisateur
agents;policiers
agglomérat;amoncellement
agglomération;ville
agglomérations;urbaines
aggravation;rechute
aggravé;accru
aggravée;affaiblie
aggraver;diminuer
agile;innovante
agilité;polyvalence
agissant;assimilant
agissement;ignoble
agissements;manigances
agissent;fonctionnent
agitation;apathie
agite;enflamme
agité;tumultueux
agitée;chaotique
agitent;empoignent
agiter;empoigner
agneau;gigot
agneler;broutards
agnosticisme;incroyance
agnostique;incroyante
agonie;moribond
agoniser;pleurer
agrafe;fermoir
agraire;rurale
agrandi;enrichi
agrandir;embellir
agrandissement;extension
agrarien;ruraliste
agréable;plaisant
agréablement;surpris
agréer;excuser
agrégat;individu
agrégation;doctorat
agrément;habilitation
agrémenter;parfaire
agresseur;assassin
agressif;incisif
agression;altercation
agressions;menaces
agressive;belliqueuse
agressivité;violence
agricole;rural
agricoles;forestiers
agriculteur;maraicher
agriculteurs;fermiers
agriculture;industrie
agripper;enlacer
agroalimentaire;industrie
agroalimentaires;industries
agronome;zootechnicien
agronomie;zootechnie
aguerri;assidu
aguerrir;acclimater
aidant;accompagner
aident;facilitent
aider;permettre
aides;incitations
aidés;accueillis
aide-soignant;infirmiers
aient;eussent
aigle;condor
aigre;piquante
aigrefin;magouilleur
aigreur;jalousie
aigreurs;frustrations
aigri;insatisfait
aiguë;rhumatismale
aiguille;crochette
aiguillette;matelote
aiguillon;effaroucheur
aiguillonner;escagasser
aiguisage;affuteur
aiguisé;incisif
aiguiser;affute
aileron;empennage
ailerons;fuselage
ailes;empennages
ailette;goupille
aille;puisse
ailleurs;cependant
aimable;courtoise
aimait;affectionnait
aimanté;attachable
aimée;amante
aiment;connaissent
aimeraient;pensent
aimerait;croit
aînée;soeur
aînés;enfants
ainsi;toutefois
airains;autologiques
airbus;embraer
aires;structures
aisance;prestesse
aisée;fastidieuse
aisément;aussi
aisés;pauvres
aisselle;pubis
ajourner;renoncer
ajout;suppression
ajoutait;exprimait
ajoutant;introduisant
ajoute;insiste
ajoutée;forte
ajoutent;adjoignent
ajouter;associer
ajoutons;pensons
ajustements;corrections
ajuster;calibrer
alambiqué;abscond
alarmant;catastrophique
alarme;protexiom
alarmer;irriter
albanais;bosniaques
albanaise;croate
albâtre;porcelaine
albatros;oiseaux
albinos;colobes
album;single
albumine;transferrine
albums;titres
alcali;lithine
alcaloïde;glycoside
alchimique;spagyrie
alcool;drogues
alcoolique;abstinent
alcoolisé;saoul
alcoolisme;addiction
alcoolo;picole
aléas;soubresauts
aléatoire;hasardeux
alêne;seime
alentour;avoisinants
alentours;avoisinantes
alerte;notification
alerter;aviser
alexie;prosopagnosie
algèbre;axiomatique
algébrique;combinatoire
algérien;malien
algérienne;constantinoise
algériens;africains
algue;crevette
alias;acolyte
alibi;argumentaire
aliénation;assujettissement
aliéniste;psychiatrique
aligner;ajuster
alimentaire;nourriture
alimentaires;nutritionnels
alimentation;nourriture
alimente;abreuve
alimenté;nourri
alimentent;irriguent
alimenter;approvisionner
aliments;produits
alinéa;paragraphe
alité;convalescence
allais;sortais
allait;revenait
allaiter;emmailloter
allant;jusque
alléchant;aguicheur
allécher;effrayer
allée;emmenais
allées;couloirs
allégation;inexacte
allégé;refondu
allégée;assouplie
allégement;simplification
alléger;soulager
allégorie;fresque
allégorique;abstraite
allègre;drolatique
allègrement;volontiers
allégresse;insouciance
allegretto;grazioso
allegro;minuetto
alléguer;accuser
allemand;danois
allemande;berlinoise
allemandes;japonaises
allemands;alsaciens
aller;revenir
allés;venues
allez;viendrez
alliage;alumium
alliance;opposition
alliances;unifications
allié;adversaire
alliée;aguerrie
allier;initier
alliés;combattants
alligator;hippopotame
allitération;anaphorique
allocation;pension
allocations;primes
allocution;tirade
allonge;alourdit
allongé;accroupi
allongement;diminution
allonger;augmenter
allons;commencerons
allouer;affecter
alloués;insuffisants
allumé;eteint
allumer;eteigne
allumettes;saucisses
allure;imposante
allures;formes
allusion;remarquer
allusions;subtiles
alluvion;sablo
alluvions;cailloutis
almanach;agenda
aloès;amyris
alogique;ralisme
alopécie;hypertrichose
alors;effectivement
alouette;grive
alourdir;plomber
alpes;rhones
alpestre;valaisanne
alpha;blondy
alphabet;voyelles
alpin;valaisan
alpinisme;himalayiste
alpiniste;aventurier
alsace;guebwiller
alsaciens;allemands
altération;affaiblissante
altercation;houleuse
altérer;perturber
alternance;professionalisation
alternative;viable
alternatives;novatrices
altier;aquilin
altruisme;compassion
altruiste;sociable
aluminium;titane
alvéole;encoche
amabilité;sympathie
amadouer;calmer
amaigrir;resculpter
amalgamation;fusion
amalgame;rapprochement
amalgamer;incorporer
amande;framboise
amandier;mirabellier
amant;copain
amants;amoureuses
amarrer;ancre
amasser;empocher
amateur;professionnel
amateurs;fanas
amatrice;blondinette
amazone;jument
amazonienne;jungle
ambassade;nonciature
ambassades;nonciatures
ambassadeur;consul
ambassadeurs;ministres
ambiance;atmosphere
ambiant;glacial
ambiante;froideur
ambigu;conflictuel
ambiguë;troublante
ambiguïté;contradiction
ambiguïtés;malentendus
ambitieuse;intrigante
ambitieuses;radicales
ambitieux;exigeant
ambition;objectif
ambitionnant;emparer
ambitionner;viser
ambitions;exigences
ambon;ciborium
ambroisie;flavescence
ambulance;camion
ambulancier;paramedic
ambulanciers;paramedics
ambulant;empailleur
améliorations;changements
amélioré;agrandi
améliorée;enrichie
améliorer;dynamiser
aménagé;entretenu
aménagée;construite
aménagement;urbanisme
aménagements;urbanismes
aménager;embellir
amende;contraventionnelle
amendement;abrogatif
amendements;corapporteurs
amender;assouplir
amendes;taxes
amène;revient
amené;voulu
amener;arriver
amenés;contraints
amère;doucereuse
américain;canadien
américaine;canadienne
américaines;australiennes
américains;zuniens
americana;lyrata
américaniser;acculturer
amertume;frustration
améthyste;amazonite
ameublement;textiles
ameublissement;ressuyage
amiable;entente
amiante;silicose
amibe;pluricellulaire
amical;affectueux
amicale;joviale
amidon;cellulose
amiral;escadre
amirauté;navales
amitié;camaraderie
amitiés;retrouvailles
ammoniac;diazote
amnésie;anosognosie
amnistie;absolution
amnistier;absolvant
amodiataire;bailleresse
amoindrir;accroitre
amonceler;accumulent
amoncellement;gravas
amont;confluant
amoral;arrogant
amorce;enclenche
amorcée;poursuivie
amorphe;inorganique
amortir;diminuer
amortissable;emprunt
amortissement;immobilisation
amour;tendresse
amoureuse;idylle
amoureux;amant
amour-propre;intellect
amours;tristesses
ampère;coulomb
amphi;gymnase
amphibie;submersible
amphitryon;festoyant
amphore;canthare
ample;approfondie
amplement;encore
ampleur;dimension
amplification;distorsion
amplifier;affaiblir
amplitude;ondulation
ampoule;interrupteur
amputation;craniotomie
amputer;restructurer
amulette;fiole
amusant;ludiquement
amusé;souvenu
amusement;ennui
amuser;distraire
anachronique;risible
anachronisme;invraisemblable
analgésique;myorelaxant
analogie;extrapolation
analogique;programmable
analogue;dissemblable
analogues;concomitants
analphabète;ignare
analyse;observation
analyser;mesurer
analyses;constatations
analyste;statisticien
analystes;futurologues
analytique;rationnelle
anamnèse;symptomatologie
ananas;hibiscus
anapeste;octosyllabe
anaphore;exclamative
anarchie;chaos
anarchique;sauvage
anarchisme;libertaire
anarchiste;antiautoritaire
anathème;ostracisme
anatomie;biologie
anatomiste;chirurgien
anche;vibrato
anchois;sardinelles
ancien;devenu
ancien testament;invitationtexte
ancienne;nouvelle
anciennement;jadis
anciennes;nouvelles
ancienneté;aptitude
anciens;futurs
ancre;amarra
andain;compost
andante;fugato
andantino;prestissimo
andorrans;uruguayens
andouille;gourdasse
anéantir;amoindrir
anéantissement;extermination
anecdote;explication
anecdotique;risible
anémie;aplasique
anémique;terne
anémone de mer;pincenoix
anesthésiant;narcotique
anesthésie;chirurgicale
anesthésier;intuber
anesthésiologie;neuropsychiatrie
anesthésiste;chirurgien
ange gardien;organisteur
angélique;divine
anges;jinns
angine;appendicite
anglais;allemand
anglaise;allemande
anglaises;australiennes
angle;aspect
anglican;wesleyen
anglicane;wesleyenne
anglicisme;buzzword
angliciste;lexicologue
anglophile;royaliste
anglophone;bilingue
anglophones;britanniques
angoissant;malsain
angoisse;frayeur
angoisser;ennuyer
angoisses;souffrances
angolais;portugais
angora;bengal
aniline;alizarine
animal;reptile
animale;bovine
animales;porcines
animateur;chroniqueur
animateurs;encadrants
animaux;humains
anime;accompagne
animé;interactif
animée;suivie
animées;captivantes
animer;participer
animés;dessins
animosité;haine
annales;chroniques
anneau;noeud
année;semaine
années;soixante
annexe;section
annexer;vassaliser
annexes;bibliographiques
annexion;colonisation
annihiler;atomiser
annonacée;phaseolus
annonce;affiche
annoncé;promis
annoncée;attendue
annoncées;promises
annoncent;officialisent
annoncer;confirmer
annonces;immobilieres
annoncés;pressentis
annonceur;organisateur
annonceurs;intentionnistes
annotation;textuelle
annotations;remarques
annuel;quadrimestriel
annuelle;triennale
annuellement;biennal
annuelles;globales
annuels;biennaux
annulation;report
annulé;interrompu
annulée;interrompue
annulées;interrompues
annuler;invalider
anode;capacitive
anodin;paradoxal
anomalie;ectopie
anomalies;atrophies
anonymat;silence
anonymement;publier
anonymes;invisibles
anormal;scandaleux
anormalement;assez
antagonique;conflictuelle
antagonisme;exacerbation
antagoniste;supervilain
antan;anciens
antécédents;aspects
antéchrist;satanique
antédiluvien;primitif
antenne;animatrice
antennes;pylones
antérieur;existant
antérieure;primitive
antérieures;significatives
antérieurs;originels
anthologie;autobiographie
anthracite;coloris
anthrax;bacilles
anthropologie;ethnoscience
anthropologue;linguiste
anthropomorphisme;animal
anthropophage;sanguinaire
antibiotique;quinolone
antichambre;salle
anticipation;clairvoyance
anticipé;attendu
anticipée;partielle
anticipées;inattendues
anticiper;adapter
anticlinal;hercynien
anticorps;immunoglobuline
anticyclone;isobarique
antidrogue;narcotiques
antiétatique;communautarienne
antilope;hippopotame
antinomie;dialectique
antinomique;conciliable
antiparticule;positron
antipathie;admiration
antipathique;rustre
antipode;inactuel
antipodes;habituels
antiquaire;numismate
antique;grecque
antiques;modernes
antiquité;protohistoire
antiquités;poteries
antiraciste;islamophobe
antisémites;homophobes
antisémitisme;islamophobie
antisocial;amoral
antithèse;personnification
antonyme;barbarisme
anxiété;insatisfaction
anxieux;nerveux
aorte;coronaire
apaisement;accalmie
apaiser;envenimer
apanage;jadis
apathie;inconscience
apathique;pusillanime
apatride;mondialiste
apercevoir;imaginer
aperçu;montrant
apéritif;diner
apesanteur;hypnotique
aphasie;dysarthrie
aphorisme;citation
aplanir;surmonter
aplatir;recourber
aplomb;affleurement
